id,loan_pred,loan_prob
58645,1,0.996
58646,0,0.0222
58647,1,0.7463
58648,0,0.0113
58649,0,0.0612
58650,1,0.9302
58651,0,0.0029
58652,0,0.0086
58653,0,0.206
58654,0,0.0213
58655,0,0.0284
58656,0,0.085
58657,0,0.0219
58658,0,0.0087
58659,0,0.0205
58660,0,0.1036
58661,0,0.0114
58662,0,0.0019
58663,0,0.0354
58664,0,0.0056
58665,0,0.0323
58666,0,0.0148
58667,0,0.0056
58668,0,0.0147
58669,0,0.0097
58670,0,0.0028
58671,0,0.2927
58672,0,0.0065
58673,1,0.9411
58674,0,0.001
58675,0,0.0144
58676,0,0.1126
58677,0,0.0328
58678,0,0.008
58679,0,0.3537
58680,1,0.9689
58681,0,0.0274
58682,0,0.0042
58683,0,0.0046
58684,0,0.1692
58685,0,0.1887
58686,0,0.0203
58687,1,0.5224
58688,0,0.0622
58689,0,0.3053
58690,0,0.0012
58691,0,0.0237
58692,0,0.021
58693,0,0.0092
58694,0,0.039
58695,1,0.9153
58696,0,0.0162
58697,0,0.0365
58698,0,0.0145
58699,0,0.012
58700,0,0.008
58701,0,0.0071
58702,0,0.0273
58703,0,0.1148
58704,1,0.5848
58705,0,0.0972
58706,0,0.0245
58707,0,0.0135
58708,0,0.0309
58709,1,0.8875
58710,0,0.0528
58711,1,0.9206
58712,0,0.0736
58713,0,0.0056
58714,0,0.0251
58715,0,0.0086
58716,0,0.1404
58717,0,0.0193
58718,0,0.1089
58719,0,0.0168
58720,0,0.0015
58721,0,0.0451
58722,0,0.16
58723,0,0.0201
58724,0,0.02
58725,0,0.0196
58726,0,0.017
58727,0,0.2483
58728,0,0.127
58729,0,0.0098
58730,0,0.0052
58731,0,0.0167
58732,0,0.1758
58733,0,0.0009
58734,0,0.0146
58735,0,0.0219
58736,0,0.0626
58737,0,0.0553
58738,1,0.9919
58739,0,0.0602
58740,1,0.8542
58741,0,0.0378
58742,0,0.0052
58743,0,0.0194
58744,0,0.0077
58745,0,0.0085
58746,0,0.0516
58747,0,0.0077
58748,0,0.0149
58749,0,0.0217
58750,0,0.0102
58751,0,0.0466
58752,1,0.9332
58753,0,0.0056
58754,0,0.0604
58755,0,0.0912
58756,0,0.0079
58757,0,0.019
58758,0,0.0109
58759,0,0.0017
58760,0,0.001
58761,0,0.0137
58762,0,0.0063
58763,1,0.9785
58764,0,0.0037
58765,0,0.0517
58766,0,0.0119
