id,booking_pred,cancel_prob
42100,0,0.0912
42101,0,0.0794
42102,0,0.3654
42103,0,0.0607
42104,0,0.4845
42105,1,0.802
42106,0,0.3624
42107,1,0.6528
42108,0,0.0008
42109,1,0.651
42110,1,0.886
42111,0,0.179
42112,0,0.3666
42113,0,0.2259
42114,0,0.2723
42115,1,0.6847
42116,0,0.0278
42117,0,0.2436
42118,1,0.9637
42119,1,0.9652
42120,1,0.9693
42121,0,0.2057
42122,0,0.0017
42123,1,0.8991
42124,1,0.9366
42125,0,0.0106
42126,0,0.012
42127,0,0.0041
42128,0,0.4074
42129,0,0.4605
42130,1,0.8951
42131,0,0.2196
42132,1,0.5606
42133,1,0.9355
42134,0,0.1978
42135,0,0.0015
42136,0,0.0285
42137,0,0.2158
42138,1,0.8884
42139,1,0.9197
42140,0,0.1224
42141,0,0.3993
42142,0,0.3865
42143,1,0.8888
42144,0,0.1502
42145,1,0.864
42146,0,0.081
42147,1,0.634
42148,1,0.8
42149,0,0.3863
42150,1,0.6005
42151,1,0.8588
42152,1,0.8042
42153,0,0.2608
42154,1,0.7478
42155,0,0.4584
42156,0,0.18
42157,0,0.0034
42158,1,0.5403
42159,1,0.8262
42160,0,0.4355
42161,0,0.0014
42162,0,0.0477
42163,0,0.1025
42164,1,0.7851
42165,0,0.4262
42166,1,0.6976
42167,0,0.0004
42168,1,0.7689
42169,1,0.8259
42170,0,0.0196
42171,0,0.098
42172,0,0.1705
42173,1,0.9313
42174,0,0.1496
42175,1,0.5327
42176,1,0.8673
42177,0,0.3144
42178,0,0.0309
42179,1,0.9555
42180,0,0.4536
42181,1,0.802
42182,1,0.8951
42183,0,0.4472
42184,0,0.0553
42185,0,0.0649
42186,0,0.2424
42187,0,0.3834
42188,0,0.0099
42189,0,0.0813
42190,0,0.194
42191,0,0.2903
42192,1,0.5872
42193,0,0.0446
42194,0,0.1352
42195,1,0.9726
42196,1,0.8258
42197,0,0.3275
42198,1,0.7563
42199,1,0.7461
42200,1,0.5254
42201,1,0.6091
42202,0,0.4691
42203,0,0.1348
42204,1,0.7614
42205,0,0.1271
42206,0,0.0121
42207,1,0.7899
42208,0,0.0458
42209,0,0.4027
42210,0,0.1121
42211,0,0.1844
42212,0,0.2135
42213,1,0.8771
42214,1,0.9135
42215,0,0.1935
42216,1,0.941
42217,0,0.162
42218,0,0.0384
42219,0,0.2551
42220,0,0.2068
42221,1,0.812
42222,0,0.4877
42223,0,0.117
42224,1,0.966
42225,1,0.6748
42226,1,0.9483
42227,0,0.0693
42228,1,0.8839
42229,0,0.0383
42230,0,0.2159
42231,1,0.8513
42232,0,0.217
42233,0,0.318
42234,0,0.4764
42235,0,0.0663
42236,0,0.049
42237,1,0.8919
42238,0,0.3401
42239,0,0.2428
42240,1,0.9553
42241,1,0.7499
42242,0,0.1089
42243,1,0.9785
42244,0,0.1742
42245,1,0.5281
42246,1,0.9622
42247,1,0.7866
42248,1,0.8416
42249,1,0.9174
42250,0,0.3829
42251,0,0.3333
42252,1,0.7059
42253,1,0.8459
42254,0,0.0697
42255,0,0.0289
42256,1,0.7453
42257,1,0.731
42258,1,0.5848
42259,1,0.8314
42260,1,0.792
42261,1,0.8828
42262,1,0.9407
42263,1,0.9781
42264,0,0.1779
42265,1,0.7392
42266,0,0.0307
42267,0,0.2091
42268,0,0.4619
42269,0,0.1369
42270,1,0.9523
42271,1,0.9161
42272,0,0.0323
42273,0,0.0032
42274,1,0.6978
42275,0,0.4465
42276,0,0.0716
42277,0,0.0816
42278,0,0.0914
42279,0,0.3235
