sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0079,0.9657,0.0264
6.9,3.1,5.1,2.3,virginica,0.0127,0.0204,0.9669
5.1,2.5,3.0,1.1,versicolor,0.0341,0.9498,0.0161
4.4,2.9,,0.2,setosa,0.5204,0.3729,0.1066
5.9,3.0,5.1,1.8,virginica,0.0123,0.2168,0.7709
5.5,3.5,1.3,0.2,setosa,0.9625,0.0196,0.0179
5.6,,3.6,1.3,versicolor,0.0376,0.9518,0.0106
6.5,3.0,5.2,2.0,virginica,0.0091,0.0345,0.9564
5.3,3.7,1.5,0.2,setosa,0.9688,0.0157,0.0155
5.1,3.4,1.5,,setosa,0.7827,0.152,0.0653
6.1,2.8,4.0,1.3,versicolor,0.0127,0.9791,0.0081
5.5,2.4,3.7,1.0,versicolor,0.0132,0.9785,0.0083
7.7,3.0,6.1,2.3,virginica,0.0227,0.0253,0.952
6.9,3.1,4.9,1.5,versicolor,0.0198,0.7156,0.2645
6.0,2.2,5.0,1.5,versicolor,0.0208,0.506,0.4733
