id,loan_pred,loan_prob
58645,1,0.9936
58646,0,0.0197
58647,1,0.8009
58648,0,0.0089
58649,0,0.0232
58650,1,0.9786
58651,0,0.0004
58652,0,0.0055
58653,1,0.5435
58654,0,0.0134
58655,0,0.1981
58656,0,0.0766
58657,0,0.0245
58658,0,0.0016
58659,0,0.0118
58660,0,0.0691
58661,0,0.0059
58662,0,0.0006
58663,0,0.0834
58664,0,0.001
58665,0,0.0204
58666,0,0.0075
58667,0,0.0006
58668,0,0.0058
58669,0,0.0016
58670,0,1e-04
58671,0,0.1091
58672,0,0.0024
58673,1,0.925
58674,0,0.0003
58675,0,0.0049
58676,0,0.1087
58677,0,0.0113
58678,0,0.0009
58679,0,0.2044
58680,1,0.9694
58681,0,0.0472
58682,0,0.0008
58683,0,0.0006
58684,0,0.2713
58685,0,0.1728
58686,0,0.0371
58687,1,0.6372
58688,0,0.3198
58689,0,0.3368
58690,0,1e-04
58691,0,0.0076
58692,0,0.014
58693,0,0.0019
58694,0,0.1205
58695,1,0.9699
58696,0,0.0059
58697,0,0.014
58698,0,0.0075
58699,0,0.0052
58700,0,0.0149
58701,0,0.0008
58702,0,0.0069
58703,0,0.0705
58704,1,0.5785
58705,0,0.1036
58706,0,0.0047
58707,0,0.0057
58708,0,0.0284
58709,1,0.9377
58710,0,0.0292
58711,1,0.9703
58712,0,0.2267
58713,0,0.0002
58714,0,0.0141
58715,0,0.0018
58716,0,0.0871
58717,0,0.0233
58718,0,0.1993
58719,0,0.003
58720,0,1e-04
58721,0,0.0599
58722,0,0.171
58723,0,0.0033
58724,0,0.007
58725,0,0.0093
58726,0,0.0108
58727,0,0.1184
58728,0,0.1636
58729,0,0.0121
58730,0,0.0013
58731,0,0.0056
58732,0,0.1522
58733,0,0.0
58734,0,0.0178
58735,0,0.0078
58736,0,0.063
58737,0,0.0101
58738,1,0.9907
58739,0,0.4209
58740,1,0.9735
58741,0,0.0411
58742,0,0.003
58743,0,0.0071
58744,0,0.0116
58745,0,0.0014
58746,0,0.0474
