id,Failure_pred,prob
136429,0,0.0021
136430,0,0.001
136431,0,0.0026
136432,0,0.0028
136433,0,0.0034
136434,0,0.0026
136435,0,0.0037
136436,0,0.005
136437,0,0.0013
136438,0,0.0012
136439,0,0.0024
136440,0,0.0021
136441,0,0.0012
136442,0,0.0018
136443,0,0.0027
136444,0,0.0055
136445,0,0.001
136446,1,0.9926
136447,0,0.0024
136448,0,0.0019
136449,0,0.0055
136450,0,0.004
136451,0,0.0211
136452,0,0.0226
136453,0,0.0038
136454,0,0.0014
136455,0,0.0018
136456,0,0.0072
136457,0,0.0059
136458,0,0.0048
136459,0,0.0032
136460,0,0.0027
136461,0,0.0011
136462,0,0.0178
136463,0,0.0021
136464,0,0.0034
136465,0,0.0015
136466,0,0.0019
136467,0,0.0013
136468,0,0.0025
136469,0,0.0013
136470,0,0.0028
136471,0,0.0085
136472,0,0.0069
136473,0,0.0024
136474,0,0.0024
136475,0,0.0028
136476,0,0.0066
136477,0,0.0024
136478,0,0.002
136479,0,0.0012
136480,0,0.0067
136481,0,0.0022
136482,0,0.0331
136483,0,0.0028
136484,0,0.001
136485,0,0.0013
136486,0,0.0025
136487,0,0.0015
136488,0,0.004
136489,0,0.0011
136490,0,0.024
136491,0,0.0035
136492,0,0.003
136493,0,0.0033
136494,0,0.0011
136495,0,0.0028
136496,0,0.0048
136497,0,0.0025
136498,0,0.0102
136499,0,0.0013
136500,0,0.0006
136501,0,0.0016
136502,0,0.0065
136503,0,0.0026
136504,0,0.0013
136505,0,0.0011
136506,0,0.0028
136507,0,0.0007
136508,0,0.001
136509,0,0.0035
136510,0,0.0015
136511,0,0.0101
136512,0,0.0008
136513,0,0.0066
136514,0,0.0021
136515,0,0.0021
136516,0,0.0036
136517,0,0.0016
136518,0,0.0016
136519,0,0.0025
136520,0,0.0017
136521,0,0.0018
136522,0,0.0032
136523,0,0.0012
136524,0,0.0013
136525,0,0.0054
136526,0,0.0057
136527,0,0.0071
136528,0,0.0012
136529,0,0.006
136530,0,0.0026
136531,0,0.0037
136532,0,0.0033
136533,0,0.0026
136534,0,0.0006
136535,0,0.0029
136536,0,0.002
136537,0,0.0009
136538,0,0.0059
136539,0,0.0013
136540,0,0.0019
136541,0,0.0008
136542,0,0.004
136543,0,0.0075
136544,0,0.002
136545,0,0.0051
136546,0,0.0006
136547,0,0.0032
136548,0,0.0023
136549,0,0.0018
136550,0,0.0059
136551,0,0.0017
136552,0,0.0017
136553,0,0.0014
136554,0,0.0033
136555,0,0.0147
136556,0,0.0079
136557,0,0.0045
136558,0,0.0041
136559,0,0.0028
136560,0,0.0047
136561,0,0.0094
136562,0,0.0019
136563,0,0.0027
136564,0,0.0015
136565,0,0.016
136566,0,0.0012
136567,0,0.0054
136568,0,0.0036
136569,0,0.004
136570,0,0.0008
136571,0,0.005
136572,0,0.0038
136573,0,0.0016
136574,0,0.0058
136575,0,0.0016
136576,0,0.005
136577,0,0.0048
136578,0,0.0013
136579,0,0.0067
136580,0,0.0013
136581,0,0.0011
136582,0,0.0012
136583,0,0.0012
136584,0,0.0021
136585,0,0.0045
136586,0,0.0547
136587,0,0.0009
136588,0,0.0056
136589,0,0.0026
136590,0,0.0015
136591,0,0.0033
136592,0,0.0098
136593,0,0.0054
136594,0,0.0006
136595,0,0.0016
136596,0,0.0012
136597,0,0.0015
136598,0,0.0053
136599,0,0.0025
136600,0,0.0021
136601,0,0.004
136602,0,0.0065
136603,0,0.0033
136604,0,0.0011
136605,0,0.0061
136606,0,0.0025
136607,0,0.0034
136608,0,0.0027
136609,0,0.0046
136610,0,0.0051
136611,0,0.0011
136612,0,0.0019
136613,0,0.003
136614,0,0.0009
136615,0,0.0008
136616,0,0.0013
136617,0,0.0095
136618,0,0.0018
136619,0,0.0019
136620,0,0.0018
136621,0,0.0033
136622,0,0.002
136623,0,0.001
136624,0,0.0015
136625,0,0.0039
136626,0,0.0004
136627,0,0.0034
136628,0,0.0026
136629,0,0.0004
136630,0,0.0011
136631,0,0.0066
136632,0,0.0039
136633,0,0.0017
136634,0,0.0015
136635,0,0.0123
136636,0,0.0124
