sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0,1.0,0.0
6.9,3.1,5.1,2.3,virginica,0.0,0.0,1.0
5.1,2.5,3.0,1.1,versicolor,0.0,0.8,0.2
4.4,2.9,,0.2,setosa,1.0,0.0,0.0
5.9,3.0,5.1,1.8,virginica,0.0,0.2,0.8
5.5,3.5,1.3,0.2,setosa,1.0,0.0,0.0
5.6,,3.6,1.3,versicolor,0.0,1.0,0.0
6.5,3.0,5.2,2.0,virginica,0.0,0.0,1.0
5.3,3.7,1.5,0.2,setosa,1.0,0.0,0.0
5.1,3.4,1.5,,versicolor,0.0,0.8,0.2
6.1,2.8,4.0,1.3,versicolor,0.0,1.0,0.0
5.5,2.4,3.7,1.0,versicolor,0.0,1.0,0.0
7.7,3.0,6.1,2.3,virginica,0.0,0.0,1.0
6.9,3.1,4.9,1.5,versicolor,0.0,0.5,0.5
6.0,2.2,5.0,1.5,versicolor,0.0,0.5,0.5
